product_id,product_name,brand,category,gender,size,color,material,fit,season,made_in,price_usd,on_sale,sale_percent,sale_price_usd,currency,in_stock,stock_qty,avg_rating,review_count,review_id,review_title,review_text,review_rating,reviewer_location,verified_purchase,would_recommend,created_at,review_date,tags
CL-VUZZPQK5,Classic Jacket,Lululemon,Skirt,Kids,M,Blue,Polyester,Regular,Summer,China,30.08,FALSE,0,,USD,TRUE,55,5,380,REV-NMMJBQE7CK,Comfortable fit,Great stitching and material. Looks even better in person.,5,"Sydney, AU",FALSE,TRUE,8/26/2024,10/30/2024,"streetwear, premium, eco"
CL-ZYCWTIQJ,Performance Sweater,Lululemon,Scarf,Women,XXL,Red,Cotton,Regular,All-season,Turkey,144.22,FALSE,0,,USD,TRUE,53,5,1644,REV-JH75LXO6QJ,Comfortable fit,Fits true to size. Breathable and lightweight.,5,"FL, USA",TRUE,TRUE,11/17/2025,12/22/2025,"outdoor, classic, giftable"
CL-T84AZYTJ,Essential Sweater,Levi's,Polo,Men,M,Green,Polyester,Oversized,All-season,India,176.75,FALSE,0,,USD,TRUE,97,4,2051,REV-1SDW4SHNF8,Worth the price,Super comfortable and soft. Fits true to size.,4,"Paris, FR",FALSE,TRUE,9/2/2025,11/1/2025,"minimal, eco, premium"
CL-RTJ5PHT0,Performance Leggings,Columbia,Shorts,Unisex,L,Purple,Rayon,Relaxed,Fall,Mexico,181.73,FALSE,0,,USD,TRUE,32,3,1850,REV-EIMVIHCWI6,Comfortable fit,Very flattering fit. Sizing was inconsistent.,3,"ON, Canada",TRUE,FALSE,5/11/2024,8/4/2024,"giftable, minimal, streetwear"
CL-XXC02DGT,Utility Dress,Gap,Dress,Kids,S,Blue,Fleece,Regular,All-season,Portugal,32.16,FALSE,0,,USD,TRUE,119,4,402,REV-B94874FRHO,Comfortable fit,Excellent value for money. Breathable and lightweight.,4,"NY, USA",TRUE,TRUE,2/25/2024,5/22/2024,"classic, workwear, minimal"
CL-BR7TCS4C,Core Boots,H&M,Jeans,Women,L,White,Suede,Regular,Winter,Indonesia,213.49,FALSE,0,,USD,TRUE,191,4,163,REV-WPVS7HZIOY,Perfect gift,Looks even better in person. Great stitching and material.,4,"IL, USA",TRUE,FALSE,11/17/2024,11/25/2024,"eco, minimal, premium"
CL-XA3KX7EE,Vintage Scarf,Adidas,Jacket,Women,M,Blue,Suede,Regular,Summer,Bangladesh,71.28,FALSE,0,,USD,TRUE,77,4,1082,REV-SJ6BW3BME9,Not as expected,Color matches the photos. Fits true to size.,4,"TX, USA",TRUE,TRUE,9/18/2025,12/31/2025,"classic, trendy, eco"
CL-MYYMU590,Essential Jeans,Adidas,Sweater,Women,S,Green,Cotton,Regular,Summer,Italy,38.51,TRUE,40,23.11,USD,FALSE,0,4,1017,REV-J2D54I3QK2,Runs small,Very flattering fit. Feels premium.,4,"FL, USA",TRUE,TRUE,2/10/2024,6/5/2024,"classic, athleisure, workwear"
CL-DP0LVSNU,Performance Jeans,Reebok,Coat,Men,XXL,Green,Cotton,Athletic,Winter,Bangladesh,35.99,FALSE,0,,USD,TRUE,246,3,1492,REV-P87WXE6SYL,Would buy again,Breathable and lightweight. Fabric pills easily.,3,"IL, USA",TRUE,FALSE,9/28/2024,10/3/2024,"giftable, classic, budget"
CL-HR62GDSW,Signature Blazer,Ralph Lauren,Polo,Men,S,Purple,Linen,Regular,Spring,Vietnam,175.44,FALSE,0,,USD,TRUE,113,4,101,REV-B9W1Q5UZNO,Great quality,Held up well after washing. Very flattering fit.,4,"TX, USA",TRUE,TRUE,3/28/2025,6/23/2025,"premium, classic, streetwear"
CL-36P6QF5Q,Modern Hat,Uniqlo,Sweater,Unisex,XL,Beige,Rayon,Regular,Summer,Portugal,150.86,FALSE,0,,USD,TRUE,243,1,318,REV-ZIM6CFNFHO,Comfortable fit,Sizing was inconsistent. Fit was awkward in the shoulders.,1,"ON, Canada",TRUE,FALSE,3/29/2025,6/16/2025,"streetwear, classic, outdoor"
